,week_of,unique_artists_played,total_plays,bipoc_plays,male_plays,canadian_content_plays,cjsr_station_plays,cjsw_station_plays,ckxu_station_plays,cfuv_station_plays,cjsf_station_plays,cjum_station_plays,ckdu_station_plays,ciut_station_plays,cfre_station_plays,chrw_station_plays,chuo_station_plays,cilu_station_plays,ckut_station_plays,cfbx_station_plays,cfru_station_plays,cfmh_station_plays,cjam_station_plays,chsr_station_plays,chry_station_plays,cjlo_station_plays,chyz_station_plays,chly_station_plays,cscr_station_plays,cism_station_plays,cick_station_plays,cick_province_plays
115,2008-04-08,74,150,117,135,66,10,10,0,0,10,10,0,10,0,10,10,10,0,10,10,0,10,10,0,10,10,10,0,0,0,0
116,2008-04-15,84,160,124,146,70,10,10,10,10,10,10,10,0,0,10,10,10,10,0,10,0,10,0,0,10,10,10,0,0,0,0
117,2008-04-22,81,170,121,154,78,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,10,0,0,0,0
118,2008-04-29,76,160,116,148,80,10,10,10,10,10,10,10,10,0,10,10,10,0,0,10,0,10,0,0,10,10,10,0,0,0,0
119,2008-05-06,80,170,117,159,72,10,10,10,10,10,10,0,10,0,10,10,10,0,10,10,0,10,10,0,10,10,10,0,0,0,0
120,2008-05-13,80,170,117,154,74,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,0,10,10,0,10,10,10,0,0,0,0
121,2008-05-20,82,150,95,140,62,10,10,10,0,0,10,10,10,0,10,10,10,0,10,10,0,10,0,0,10,10,10,0,0,0,0
122,2008-05-27,67,120,72,110,46,10,10,0,0,10,10,0,10,0,10,10,10,0,0,10,0,0,0,0,10,10,10,0,0,0,0
123,2008-06-03,81,150,92,139,54,10,10,0,10,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,10,0,0,0,0
124,2008-06-10,84,150,90,145,56,10,10,0,10,10,10,10,10,0,10,10,10,10,0,0,0,10,0,0,10,10,10,0,0,0,0
125,2008-06-17,82,160,93,148,59,10,10,10,10,0,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,10,0,0,0,0
126,2008-06-24,74,110,64,101,37,0,10,0,0,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,0,10,10,0,0,0,0
127,2008-07-01,70,120,82,111,38,10,0,0,10,0,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
128,2008-07-08,72,130,82,117,44,10,0,10,0,10,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,10,0,0,0,0
129,2008-07-15,100,180,112,158,66,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,10,0,10,10,10,0,0,0,0
130,2008-07-22,78,130,73,118,50,10,10,10,0,10,0,0,10,0,10,10,10,0,0,0,0,10,10,0,10,10,10,0,0,0,0
131,2008-07-29,81,140,83,124,56,10,10,10,0,10,0,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,10,0,0,0,0
132,2008-08-05,64,130,81,115,53,10,10,10,0,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
