,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
1883,caribou,cdn,"toronto, on",no,white,male,True,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1884,microbunny vs the straggler,cdn,"toronto, on",yes,mixed group,mixed,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0
1885,crystal castles,cdn,"toronto, on",no,white,mixed,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0
1886,name with no sound,cdn,"london, on",no,white,male,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1887,billy rockwell & hitori tori,cdn,"winnipeg, mb",no,white,male,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1888,holy fuck,cdn,"toronto, on",no,white,male,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1889,gesumm,cdn,"london, on",no,white,male,True,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1890,mitchmatic,cdn,"edmonton, ab",no,white,male,True,False,21,0.7142857142857143,0.19047619047619047,0.0,0.0,0.0,0.09523809523809523,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1891,kay the aquanaut,cdn,"saskatoon, sask",no,white,male,True,False,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1892,steve stone,int,"spreitenbach, swit",no,white,male,False,False,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0
