,ARTIST NAME(S),ARTIST HOME LATITUDE,ARTIST HOME LONGITUDE,ARTIST HOME CITY,ARTIST COUNTRY,LANGUAGE OF MUSIC,VISIBLE ETHNIC MINORITY,CENSUS RACE CLASSIFICATION,ARTIST GENDER,CANADIAN CONTENT,ALBUMS PLAYED,STATIONS PLAYED ON,MEAN CHART POSITION,TOTAL DAYS PLAYED,STATION cfbx,STATION cfmh,STATION cfre,STATION cfru,STATION cfuv,STATION chly,STATION chrw,STATION chry,STATION chsr,STATION chuo,STATION chyz,STATION cick,STATION cilu,STATION cism,STATION ciut,STATION cjam,STATION cjlo,STATION cjsf,STATION cjsr,STATION cjsw,STATION cjum,STATION ckdu,STATION ckut,STATION ckxu,STATION cscr,CHART POSITION 1,CHART POSITION 2,CHART POSITION 3,CHART POSITION 4,CHART POSITION 5,CHART POSITION 6,CHART POSITION 7,CHART POSITION 8,CHART POSITION 9,CHART POSITION 10
300,chadio,49.25,-123.13,"vancouver, bc",cdn,english,yes,mixed group,male group,yes,1,1,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.2,0.0,0.0
301,chadio & aalo guha,49.25,-123.13,"vancouver, bc",cdn,english,yes,mixed group,male group,yes,1,9,6,35,0.05714285714285714,0.0,0.0,0.14285714285714285,0.11428571428571428,0.0,0.05714285714285714,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.2,0.11428571428571428,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.17142857142857143,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.11428571428571428
302,chali 2na,41.85,-87.65,"chicago, il",us,english,yes,black,male,no,2,11,5,71,0.0,0.0,0.0,0.056338028169014086,0.16901408450704225,0.0,0.0,0.0,0.0,0.07042253521126761,0.0,0.0,0.11267605633802817,0.0,0.028169014084507043,0.08450704225352113,0.15492957746478872,0.04225352112676056,0.0,0.056338028169014086,0.1267605633802817,0.0,0.0,0.09859154929577464,0.0,0.07042253521126761,0.07042253521126761,0.19718309859154928,0.09859154929577464,0.11267605633802817,0.056338028169014086,0.14084507042253522,0.11267605633802817,0.08450704225352113,0.056338028169014086
303,champ freeman,39.95,-75.16,"philadelphia, pa",us,english,yes,black,male,no,1,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
304,chapter thrive & ryan stinson,52.13,-106.67,"saskatoon, sask",cdn,english,no,white,male group,yes,1,9,6,25,0.08,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.24,0.04,0.0,0.0,0.12,0.04,0.0,0.0,0.0,0.12,0.0,0.12,0.04,0.08,0.08,0.04,0.2,0.12,0.12,0.08,0.12
305,character traits,49.15,-123.92,"nanaimo, bc",cdn,english,no,white,male,yes,2,8,6,26,0.15384615384615385,0.0,0.19230769230769232,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.19230769230769232,0.038461538461538464,0.07692307692307693,0.0,0.11538461538461539,0.038461538461538464,0.23076923076923078,0.07692307692307693,0.19230769230769232,0.038461538461538464
306,charles bradley,29.65,-82.32,"gainesville, fl",us,english,yes,black,male,no,1,2,4,10,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.1
307,chaundon,40.71,-74.0,"new york, ny",us,english,yes,black,male,no,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
308,chester french,42.37,-71.1,"cambridge, ma",us,english,yes,mixed group,male group,no,1,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
309,chet singh,43.66,-79.42,"toronto, on",cdn,english,yes,asian indian,male,yes,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
