,STATION,WEEK OF,STATION LATITUDE,STATION LONGITUDE,STATION CITY,STATION PROVINCE,MOST PLAYED ARTIST CITY,ARTIST COUNTRY,MOST PLAYED LABEL TYPE,MOST PLAYED LABEL ,ARTIST GENDER female,ARTIST GENDER male,ARTIST GENDER male group,ARTIST GENDER mixed group,CENSUS RACE CLASSIFICATION asian,CENSUS RACE CLASSIFICATION asian other,CENSUS RACE CLASSIFICATION black,CENSUS RACE CLASSIFICATION hispanic,CENSUS RACE CLASSIFICATION mixed group,CENSUS RACE CLASSIFICATION white,ARTIST COUNTRY cdn,ARTIST COUNTRY int,ARTIST COUNTRY uk,ARTIST COUNTRY us,ARTIST COUNTRY us/cdn,CANADIAN CONTENT no,CANADIAN CONTENT yes,ARTIST COUNTRY unknown,ARTIST GENDER unknown,CENSUS RACE CLASSIFICATION unknown,ARTIST GENDER female group,CENSUS RACE CLASSIFICATION native american,CENSUS RACE CLASSIFICATION native canadian,CENSUS RACE CLASSIFICATION middle eastern,CENSUS RACE CLASSIFICATION unidentified,CENSUS RACE CLASSIFICATION asian indian,CENSUS RACE CLASSIFICATION jewish,CENSUS RACE CLASSIFICATION romany,CENSUS RACE CLASSIFICATION other asian,CENSUS RACE CLASSIFICATION indian,CENSUS RACE CLASSIFICATION indian asian,CENSUS RACE CLASSIFICATION inuit,CENSUS RACE CLASSIFICATION metis,ARTIST GENDER no,CENSUS RACE CLASSIFICATION male,CENSUS RACE CLASSIFICATION east asian
34,cjsw,2006-01-24,51.08,-114.08,calgary,ab,"london, eng",us,indie,chocolate industries,0.1,0.4,0.3,0.2,0.0,0.0,0.2,0.0,0.4,0.4,0.2,0.1,0.2,0.5,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,cjum,2006-01-24,49.88,-97.17,winnipeg,mb,"atlanta, ga",us,indie,arc the finger,0.1,0.5,0.4,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.2,0.1,0.1,0.6,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ckdu,2006-01-24,44.65,-63.6,halifax,ns,"halifax, ns",cdn,indie,!k7,0.0,0.7,0.2,0.1,0.0,0.0,0.3,0.0,0.1,0.6,0.8,0.2,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ckut,2006-01-24,45.5,-73.58,montreal,qc,"new york, ny",us,indie,big dada,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.2,0.3,0.2,0.1,0.0,0.7,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ckxu,2006-01-24,49.7,-112.83,lethbridge,ab,"los angeles, ca",us,indie,alpha pup,0.0,0.5,0.4,0.0,0.1,0.0,0.4,0.0,0.2,0.2,0.2,0.1,0.1,0.5,0.0,0.8,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,cfbx,2006-01-31,50.67,-120.33,kamloops,bc,"new york, ny",us,indie,babygrande,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.1,0.3,0.4,0.0,0.0,0.6,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,cfmh,2006-01-31,45.28,-66.07,saint john,nb,"toronto, on",cdn,indie,geffen,0.0,0.4,0.5,0.0,0.0,0.0,0.5,0.0,0.1,0.4,0.5,0.0,0.1,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,cfre,2006-01-31,46.59,-79.66,mississauga,on,"toronto, on",cdn,indie,urbnet,0.1,0.6,0.3,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.7,0.0,0.0,0.3,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,cfuv,2006-01-31,48.43,-123.35,victoria,bc,"brooklyn, ny",us,indie,7 grande,0.0,0.9,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.2,0.0,0.0,0.8,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,chrw,2006-01-31,42.983,-81.25,london,on,"new york, ny",us,indie,ninja tune,0.0,0.5,0.4,0.1,0.0,0.0,0.4,0.0,0.2,0.4,0.3,0.0,0.1,0.6,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
